Tên học bổng,Tên tổ chức,"Vị trí địa lý của trường, doanh nghiệp, tổ chức",Vị trí địa lý người apply,Rank trường,Deadline ứng tuyển,Loại học bổng,Giá trị học bổng,Cấp học,Ngành,Link ứng tuyển,Yêu cầu về CPA,Yêu cầu về điểm THPTQG,Yêu cầu về điểm DGNL,yêu cầu về điểm IELTS,yêu cầu về điểm SAT,Yêu cầu về điểm TOEIC,Yêu cầu về điểm TOEFL,Yêu cầu về cuộc thi,Yêu cầu về kinh nghiệm làm việc,Yêu cầu về hoạt động ngoại khóa,Mô tả học bổng
Học bổng: British Council Scholarships Women in STEM,Tổ chức: British Council,Vị trí: None,Khu vực: None,Ranking/Info: None,Deadline: None,Học bổng : British Council Scholarships Women in STEM,Giá trị học bổng: None,"Cấp học: Đại học, Thạc sĩ, Tiến sĩ","Ngành, lĩnh vực liên quan: Tất cả các ngành",Link ứng tuyển: http://www.britishcouncil.vn/en/study-uk/scholarships-financial-support/british-council-scholarships-women-stem,Điểm: None,Điểm: None,Điểm: None,Điểm: None,Điểm: None,Điểm: None,Điểm: None,None,None,None,"Học bổng Women in STEM là một học bổng toàn phần sau đại học tại Vương quốc Anh, được cung cấp bởi Hội đồng Anh. Học bổng nhằm thúc đẩy và kết nối nữ giới tham gia vào các lĩnh vực khoa học và công nghệ. Chi tiết về học bổng có thể được tìm thấy tại đường link: http://www.britishcouncil.vn/en/study-uk/scholarships-financial-support/british-council-scholarships-women-stem"
Học bổng: Erasmus + Key action 1,Tổ chức: Trường ĐH Porto (Bồ Đào Nha),Vị trí: None,Khu vực: None,Ranking/Info: None,Deadline: Ngày 6/3/2023,học bổng : Trao đổi sinh viên/học viên cao học/NCS,giá trị học bổng: 850 EUR/tháng,cấp học: đại học,"Ngành, lĩnh vực liên quan: tất cả các ngành",Link ứng tuyển: https://goo.gl/forms/OWWSxL7XKrBUJKWu1,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,None,None,None,"Học bổng Erasmus + Key action 1 của Trường ĐH Porto (Bồ Đào Nha) dành cho sinh viên các Trường ĐH đối tác tại Việt Nam. Học bổng này cung cấp trợ cấp 850 EUR/tháng trong 4 tháng cho sinh viên trao đổi. Ngoài ra, học bổng cũng bao gồm trợ cấp vé máy bay trị giá 1500 EUR. Hạn chót nộp hồ sơ là ngày 6/3/2023."
Học bổng: Học bổng sau đại học,"Tổ chức: Gyeongsang National University, Korea (GNU)",Vị trí: None,Khu vực: None,Ranking/Info: None,Deadline: None,"Học bổng: Học bổng trường, Học bổng giáo sư, Học bổng BK21 (Brain Korea Project)",Giá trị học bổng: None,Cấp học: Sau đại học,"Ngành, lĩnh vực liên quan: Các ngành kỹ thuật, ưu tiên: KT Cơ khí, hàng không, Các ngành kỹ thuật hóa học – hóa sinh – môi trường, Vật liệu, công nghệ Nano",Link ứng tuyển: https://www.gnu.ac.kr/eng/main.do,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,None,None,None,"Học bổng sau đại học tại Gyeongsang National University (GNU) dành cho các ngành kỹ thuật như KT Cơ khí, hàng không, các ngành kỹ thuật hóa học - hóa sinh - môi trường, vật liệu, công nghệ Nano và nhiều lĩnh vực khác. Các ứng viên quan tâm có thể đăng ký tham dự buổi giới thiệu và tham gia hỏi đáp với các giáo sư GNU."
Học bổng: Canada-ASEAN SEED,Tổ chức: Phòng HTĐN,Vị trí: Phòng HTĐN,Khu vực ASEAN,Ranking/Info: None,Deadline: 14/2/2023,- Học bổng: Học bổng trao đổi,"- Giá trị học bổng: CAD 10,200 cho sinh viên, học viên cao học (Master & PhD) với thời gian tối thiểu 4 tháng hoặc 01 học kỳ trao đổi, học tập, nghiên cứu; CAD 12,700 cho học viên cao học (Master & PhD) với thời gian 5-6 tháng học tập và nghiên cứu; CAD 15,900 cho sinh viên đại học với thời gian 8 tháng hoặc 02 học kỳ trao đổi, học tập, nghiên cứu.","- Cấp học: Đại học, Thạc sĩ, Tiến sĩ","- Ngành, lĩnh vực liên quan: Tất cả các ngành",- Link ứng tuyển: https://forms.gle/ascYVZ1NTt9gtcjA9,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,None,None,None,"Học bổng trao đổi Canada-ASEAN SEED là một chương trình học bổng nhằm hỗ trợ sinh viên và học viên cao học từ các quốc gia ASEAN để học tập, nghiên cứu tại Canada. Học bổng có giá trị từ CAD 10,200 đến CAD 15,900 tùy thuộc vào thời gian và loại hình trao đổi. Sinh viên được thực hiện các hoạt động học tập hoặc thực tập nghiên cứu tại các trường đại học ở Canada."
Học bổng : Ernst Mach-Grants,Tổ chức : ASEA-UNINET,Vị trí : Khu vực Châu Âu - Đông Nam Á,Khu vực : Việt Nam,Ranking/Info: None,Deadline: 15/03/2023,Học bổng: Học bổng ERNST MACH-GRANTS –ASEA UNINET 2023,"Giá trị học bổng: 1,150 euros/tháng + vé máy bay (max 1000Euro) cho học bổng Tiến sỹ toàn phần và 1,250 euros/tháng + vé máy bay (max 1000Euro) cho học bổng sau tiến sỹ.",Cấp học: Tiến sỹ,"Ngành, lĩnh vực liên quan: Các ngành Khoa học tự nhiên, Kỹ thuật, Khoa học xã hội, Y Dược, Nông nghiệp",Link ứng tuyển: https://asea-uninet.org/scholarships-grants/ernst-mach-grant-emg/,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,None,None,None,"Học bổng Ernst Mach-Grants của ASEA-UNINET là một chương trình học bổng dành cho công dân Việt Nam, ưu tiên cán bộ và sinh viên các trường đại học thành viên ASEA-UNINET. Học bổng này hỗ trợ các lĩnh vực Khoa học tự nhiên, Kỹ thuật, Khoa học xã hội, Y Dược và Nông nghiệp. Có hai loại học bổng là học bổng Tiến sỹ toàn phần và học bổng sau tiến sỹ. Thời gian và mức học bổng khác nhau tùy theo loại học bổng."
Học bổng: Trao đổi sinh viên/cao học/nghiên cứu sinh (Student Exchange),Tổ chức: Trường Đại học Trento – Ý,Vị trí: None,Khu vực: Ý,Ranking/Info: None,Deadline: Ngày 05/10/2022 (đối với hồ sơ trực tuyến) và ngày 10/10/2022 (đối với hồ sơ bản cứng),- Học bổng: Trao đổi sinh viên/cao học/nghiên cứu sinh (Student Exchange),- Giá trị học bổng: 850 Euro/1 tháng + Hỗ trợ vé máy bay tối đa 1500 Euro,- Cấp bậc học: Đại học,"- Ngành, lĩnh vực liên quan: Các ngành kỹ thuật, kinh tế, ngoại ngữ",- Link ứng tuyển: https://forms.gle/kitSY8d4Tx1vx19LA,điểm : None,điểm : None,điểm : None,điểm : B2,điểm : None,điểm : None,điểm : None,None,None,None,"Học bổng trao đổi sinh viên Chương trình Erasmus+ KA1 năm học 2022-2023 giữa Trường Đại học Trento – Ý và Trường ĐHBK Hà Nội. Học bổng bao gồm sinh hoạt phí, vé máy bay khứ hồi và miễn học phí. Sinh viên từ năm 2, học viên cao học và nghiên cứu sinh tại trường ĐHBKHN có thể nộp đơn. Thời gian đi trao đổi dự kiến từ tháng 2 đến tháng 7 năm 2023."
Học bổng : Tokyo Tech AYSEAS 2022,Tổ chức : Tokyo Tech,"Vị trí : Tokyo, Nhật Bản",Khu vực : None,Ranking/Info: None,Deadline: 20/06/2022,Học bổng: Học bổng trao đổi,Giá trị học bổng: None,Cấp học: Đại học,"Ngành, lĩnh vực liên quan: Tất cả các ngành",Link ứng tuyển: https://www.t2form.titech.ac.jp/sv/995961?lang=en,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,None,None,None,"Học bổng Trao đổi sinh viên Hè Tokyo Tech AYSEAS 2022 (online) là chương trình trao đổi dành cho sinh viên nghiên cứu và kỹ sư trẻ. Chương trình diễn ra từ ngày 29/08 đến 06/09/2022 và bao gồm tham quan công ty, thăm địa điểm dự án, các bài giảng từ giảng viên của Tokyo Tech và các trường đại học thành viên, thảo luận nhóm và thuyết trình cuối khóa. Ngôn ngữ sử dụng trong chương trình là Tiếng Anh. Sinh viên HUST được miễn phí tham gia chương trình."
Học bổng: Monbukagakusho,Tổ chức: Chính phủ Nhật Bản,Vị trí: Nhật Bản,Khu vực: None,Ranking/Info: None,Deadline: Ngày 31 tháng 5,- Học bổng: Học bổng chính phủ.,- Giá trị học bổng: None.,- Cấp học: Đại học.,"- Ngành, lĩnh vực liên quan: Tất cả các ngành.",- Link ứng tuyển: Không có thông tin.,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,điểm : None,None,None,None,"Học bổng Monbukagakusho của Chính phủ Nhật Bản là một chương trình học bổng danh giá dành cho sinh viên quốc tế. Chương trình này cung cấp cơ hội cho sinh viên nghiên cứu và học tập tại các trường đại học và viện nghiên cứu hàng đầu tại Nhật Bản. Học bổng này bao gồm mức hỗ trợ tài chính cho chi phí sinh hoạt và học phí, cùng với các hoạt động hỗ trợ và đào tạo cho sinh viên. Đây là một cơ hội tuyệt vời để trải nghiệm văn hóa và học tập tại một trong những quốc gia phát triển hàng đầu thế giới."
Học bổng: POSCO Global Young Leader Program - Fall 2022,Tổ chức: Tập đoàn POSCO,Vị trí: None,Khu vực: Hàn Quốc,Ranking/Info: None,Deadline: Ngày 24/4/2022,Học bổng: học bổng toàn phần POSCO Global Young Leader Program - Fall 2022,Giá trị học bổng: None,Cấp học: đại học,"Ngành, lĩnh vực liên quan: Kỹ thuật hóa học, Vật lý, Vật liệu, Cơ khí, Điện-điện tử, CNTT&TT, Sinh học thực phẩm, Môi trường, Quản lý công nghiệp",Link ứng tuyển: https://forms.gle/2xY7eictLYdn5x9E8,Điểm CPA: >3.0,Điểm THPTQG: None,Điểm DGNL: None,Điểm IELTS: 6.5,Điểm SAT: None,Điểm TOEIC: None,Điểm TOEFL: 90,None,None,None,"Học bổng toàn phần POSCO Global Young Leader Program - Fall 2022 dành cho sinh viên trao đổi tại POSTECH. Học bổng này được tài trợ bởi tập đoàn POSCO TJ PARK và có hợp tác giữa Trường ĐHBK Hà Nội, Trường ĐH Khoa học Công nghệ POHANG (POHANG) và Tập đoàn POSCO, Hàn Quốc. Học bổng này nhằm hỗ trợ sinh viên năm 2, năm 3 các ngành kỹ thuật hóa học, vật lý, vật liệu, cơ khí, điện-điện tử, CNTT&TT, sinh học thực phẩm, môi trường, quản lý công nghiệp."
Học bổng: POSCO ASIA FELLOWSHIP PROGRAM 2022,Tổ chức: Phòng Hợp tác đối ngoại,Vị trí: Hàn Quốc,Khu vực: Chưa có thông tin,Ranking/Info: None,Deadline: 21.4.2022,Học bổng: học bổng trường đại học,Giá trị học bổng: None,Cấp học: sau đại học,"Ngành, lĩnh vực liên quan: tất cả các ngành",Link ứng tuyển: https://www.postf.org/en/asia/online/application_apply.do,Điểm CPA: None,Điểm THPTQG: None,Điểm DGNL: None,Điểm IELTS: None,Điểm SAT: None,Điểm TOEIC: None,Điểm TOEFL: None,None,None,None,Học bổng POSCO ASIA FELLOWSHIP PROGRAM 2022 là chương trình học bổng sau đại học tại Hàn Quốc dành cho các bạn học viên tốt nghiệp các ngành kỹ thuật và khoa học tự nhiên. Hạn nộp hồ sơ là ngày 21.4.2022 và hình thức nộp hồ sơ là trực tuyến. Ứng viên nộp học bổng từ HUST được khuyến khích nộp hồ sơ vào POSTECH – Trường đại học do POSCO sáng lập.
